FID,id,gna,nam,fna,línea,caa,progresiva,fuente,geom,long,lat
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7042,520,Estación,Chivilcoy Sud,Estación Chivilcoy Sud,FFCC Sarmiento,SOFSE,,,POINT (-59.99612955939485 -34.91741632895207),-59.99612956,-34.91741633
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7043,521,Estación,Andrés Vaccareza (Alberti),Estación Andrés Vaccareza (Alberti),FFCC Sarmiento,SOFSE,,,POINT (-60.27756731340126 -35.03459707121156),-60.27756731,-35.03459707
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7044,523,Estación,Suipacha,Estación Suipacha,FFCC Sarmiento,SOFSE,,,POINT (-59.69040669399509 -34.77327428069938),-59.69040669,-34.77327428
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7045,524,Estación,Bragado,Estación Bragado,FFCC Sarmiento,SOFSE,,,POINT (-60.47851942286195 -35.11974437531145),-60.47851942,-35.11974438
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7046,528,Estación,Mercedes,Estación Mercedes,FFCC Sarmiento,SOFSE,,,POINT (-59.43242108405843 -34.65767692959696),-59.43242108,-34.65767693
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7047,736,Estación,Pehuajó,Estación Pehuajó,FFCC Sarmiento,FEPSA,362.4,,POINT (-61.89397522858195 -35.81559317765925),,
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7048,737,Estación,Carlos Casares,Estación Carlos Casares,FFCC Sarmiento,FEPSA,309.2,,POINT (-61.36311227595212 -35.6294915906227),,
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7049,738,Estación,9 de Julio,Estación 9 de Julio,FFCC Sarmiento,FEPSA,260.9,,POINT (-60.87668595902203 -35.45424605815221),,
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_704a,48,Estación,Haedo,Estación Haedo,FFCC Sarmiento,SOFSE,17.655,Operador,POINT (-58.59194588896136 -34.644477144900506),-58.59194589,-34.64447714
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_704b,84,Estación,Once,Estación Once,FFCC Sarmiento,SOFSE,0,Operador,POINT (-58.4075158087721 -34.60827979749716),-58.40751581,-34.6082798
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_704c,756,Estación,,,,Trenes Argentinos Cargas y LogÇðstica,654.4,,POINT (-65.1738552361007 -33.8604615374495),,
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_704d,746,Estación,,,,Trenes Argentinos Cargas y LogÇðstica,654.4,,POINT (-65.1738552361007 -33.8604615374495),,
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_704e,745,Estación,,,,Trenes Argentinos Cargas y LogÇðstica,654.4,,POINT (-65.1738552361007 -33.8604615374495),,
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_704f,740,Estación,,,,Trenes Argentinos Cargas y LogÇðstica,654.4,,POINT (-65.1738552361007 -33.8604615374495),,
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7050,739,Estación,Justo Daract,Estación Justo Daract,,SOFSE,123.6,,POINT (-65.1738552361007 -33.8604615374495),,
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7051,741,Estación,Palmira,Estación Palmira,FFCC San Martín,SOFSE,1028.5,,POINT (-68.56206666666667 -33.0473),,
